SKU,Name1,Name2
ST20240818_221323_DO NOT ENTER DO NOT ENTER,DO NOT ENTER,DO NOT ENTER
ST20240818_221324_THINK SAFETY FIRST THINK SAFETY FIRST,THINK SAFETY FIRST,THINK SAFETY FIRST
ST20240818_221325_GASOLINE ONLY GASOLINE ONLY,GASOLINE ONLY,GASOLINE ONLY
ST20240818_221326_240V 3 PHASE 240V 3 PHASE,240V 3 PHASE,240V 3 PHASE
ST20240818_221327_480 VOLTS 480 VOLTS,480 VOLTS,480 VOLTS
ST20240818_221328_120 VOLTS 120 VOLTS,120 VOLTS,120 VOLTS
ST20240818_221329_277/480 VOLTS 277/480 VOLTS,277/480 VOLTS,277/480 VOLTS
ST20240818_221330_120/240 VOLTS AC 120/240 VOLTS AC,120/240 VOLTS AC,120/240 VOLTS AC
ST20240818_221331_240 VOLTS 240 VOLTS,240 VOLTS,240 VOLTS
ST20240818_221332_HIGH VOLTAGE HIGH VOLTAGE,HIGH VOLTAGE,HIGH VOLTAGE
ST20240818_221333_DIESEL FUEL ONLY DIESEL FUEL ONLY,DIESEL FUEL ONLY,DIESEL FUEL ONLY
ST20240818_221334_DIESEL ONLY DIESEL ONLY,DIESEL ONLY,DIESEL ONLY
ST20240818_221335_GASOLINE FUEL ONLY GASOLINE FUEL ONLY,GASOLINE FUEL ONLY,GASOLINE FUEL ONLY
ST20240818_221336_GASOLINE ONLY GASOLINE ONLY,GASOLINE ONLY,GASOLINE ONLY
ST20240818_221337_120/208 VOLTS 120/208 VOLTS,120/208 VOLTS,120/208 VOLTS
ST20240818_221338_110 VOLTS 110 VOLTS,110 VOLTS,110 VOLTS
ST20240818_221339_SINGLE PHASE SINGLE PHASE,SINGLE PHASE,SINGLE PHASE
ST20240818_221340_GASOLINE NO SMOKING GASOLINE NO SMOKING,GASOLINE! NO SMOKING,GASOLINE! NO SMOKING
ST20240818_221341_CAUTION AUTOMATIC DOOR CAUTION AUTOMATIC DOOR,CAUTION! AUTOMATIC DOOR,CAUTION! AUTOMATIC DOOR
ST20240818_221342_NO GUEST ACCESS NO GUEST ACCESS,NO GUEST ACCESS,NO GUEST ACCESS
ST20240818_221343_RESTRICTED AREA DO NOT ENTER RESTRICTED AREA DO NOT ENTER,RESTRICTED AREA! DO NOT ENTER,RESTRICTED AREA! DO NOT ENTER
ST20240818_221344_EMPLOYEES ONLY THANK YOU EMPLOYEES ONLY THANK YOU,EMPLOYEES ONLY! THANK YOU,EMPLOYEES ONLY! THANK YOU
ST20240818_221345_WARNING BEWARE OF DOG WARNING BEWARE OF DOG,WARNING! BEWARE OF DOG,WARNING! BEWARE OF DOG
ST20240818_221347_NO SMOKING NO SMOKING,NO SMOKING,NO SMOKING
ST20240818_221348_NO SOLICITING NO SOLICITING,NO SOLICITING,NO SOLICITING
ST20240818_221349_PLEASE KEEP DOOR CLOSED PLEASE KEEP DOOR CLOSED,PLEASE KEEP DOOR CLOSED,PLEASE KEEP DOOR CLOSED
ST20240818_221350_SLOW DOWN SPEED LIMIT SLOW DOWN SPEED LIMIT,SLOW DOWN SPEED LIMIT,SLOW DOWN SPEED LIMIT
ST20240818_221351_WARNING NEW DRIVER WARNING NEW DRIVER,WARNING! NEW DRIVER,WARNING! NEW DRIVER
ST20240818_221352_FIRE EXIT FIRE EXIT,FIRE EXIT,FIRE EXIT
